school,nickname,city,state,conference
Hawaii,Rainbow Warriors,Honolulu,Hawaii,Mountain West
Houston,Cougars,Houston,Texas,American
Idaho,Vandals,Moscow,Idaho,Sun Belt
Illinois,Fighting Illini,Urbana-Champaign,Illinois,Big Ten
Indiana,Hoosiers,Bloomington,Indiana,Big Ten
Iowa,Hawkeyes,Iowa City,Iowa,Big Ten
Iowa State,Cyclones,Ames,Iowa,Big 12
Kansas,Jayhawks,Lawrence,Kansas,Big 12
Kansas State,Wildcats,Manhattan,Kansas,Big 12
Kent State,Golden Flashes,Kent,Ohio,MAC
Kentucky,Wildcats,Lexington,Kentucky,SEC
Louisiana State,Tigers,Baton Rouge,Louisiana,SEC
Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA
Louisiana-Lafayette,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt
Louisiana-Monroe,Warhawks,Monroe,Louisiana,Sun Belt
Louisville,Cardinals,Louisville,Kentucky,ACC
Marshall,Thundering Herd,Huntington,West Virginia,C-USA
Maryland,Terrapins,College Park,Maryland,Big Ten
Massachusetts,Minutemen,Amherst,Massachusetts,MAC
Memphis,Tigers,Memphis,Tennessee,American
Miami (FL),Hurricanes,Coral Gables,Florida,ACC
Miami (OH),RedHawks,Oxford,Ohio,MAC
Michigan,Wolverines,Ann Arbor,Michigan,Big Ten
Michigan State,Spartans,East Lansing,Michigan,Big Ten
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,C-USA
Minnesota,Golden Gophers,Minneapolis,Minnesota,Big Ten
Mississippi,Rebels,Oxford,Mississippi,SEC
Mississippi State,Bulldogs,Starkville,Mississippi,SEC
Missouri,Tigers,Columbia,Missouri,SEC
Navy,Midshipmen,Annapolis,Maryland,Independent
Nebraska,Cornhuskers,Lincoln,Nebraska,Big Ten
Nevada,Wolf Pack,Reno,Nevada,Mountain West
"Nevada, Las Vegas",Rebels,Las Vegas,Nevada,Mountain West
New Mexico,Lobos,Albuquerque,New Mexico,Mountain West
New Mexico State,Aggies,Las Cruces,New Mexico,Sun Belt
North Carolina,Tar Heels,Chapel Hill,North Carolina,ACC
North Carolina State,Wolfpack,Raleigh,North Carolina,ACC
North Texas,Mean Green,Denton,Texas,C-USA
Northern Illinois,Huskies,DeKalb,Illinois,MAC
Northwestern,Wildcats,Evanston,Illinois,Big Ten
Notre Dame,Fighting Irish,South Bend,Indiana,Independent
Ohio,Bobcats,Athens,Ohio,MAC
Ohio State,Buckeyes,Columbus,Ohio,Big Ten
Oklahoma,Sooners,Norman,Oklahoma,Big 12
Oklahoma State,Cowboys,Stillwater,Oklahoma,Big 12
Old Dominion,Monarchs,Norfolk,Virginia,C-USA
Oregon,Ducks,Eugene,Oregon,Pac-12
Oregon State,Beavers,Corvallis,Oregon,Pac-12
Penn State,Nittany Lions,State College,Pennsylvania,Big Ten
Pittsburgh,Panthers,Pittsburgh,Pennsylvania,ACC
Purdue,Boilermakers,West Lafayette,Indiana,Big Ten
Rice,Owls,Houston,Texas,C-USA
Rutgers,Scarlet Knights,Piscataway,New Jersey,Big Ten
San Diego State,Aztecs,San Diego,California,Mountain West
San Jose State,Spartans,San Jose,California,Mountain West
South Alabama,Jaguars,Mobile,Alabama,Sun Belt
South Carolina,Gamecocks,Columbia,South Carolina,SEC
South Florida,Bulls,Tampa,Florida,American
Southern California,Trojans,Los Angeles,California,Pac-12
Southern Methodist,Mustangs,University Park,Texas,American
Southern Miss,Golden Eagles,Hattiesburg,Mississippi,C-USA
Stanford,Cardinal,Stanford,California,Pac-12
Syracuse,Orange,Syracuse,New York,ACC
Temple,Owls,Philadelphia,Pennsylvania,American
Tennessee,Volunteers,Knoxville,Tennessee,SEC
Texas,Longhorns,Austin,Texas,Big 12
Texas A&M,Aggies,College Station,Texas,SEC
Texas Christian,Horned Frogs,Fort Worth,Texas,Big 12
Texas State,Bobcats,San Marcos,Texas,Sun Belt
Texas Tech,Red Raiders,Lubbock,Texas,Big 12
Texas-El Paso,Miners,El Paso,Texas,C-USA
Texas-San Antonio,Roadrunners,San Antonio,Texas,C-USA
Toledo,Rockets,Toledo,Ohio,MAC
Troy,Trojans,Troy,Alabama,Sun Belt
Tulane,Green Wave,New Orleans,Louisiana,American
Tulsa,Golden Hurricane,Tulsa,Oklahoma,American
UCLA,Bruins,Los Angeles,California,Pac-12
Utah,Utes,Salt Lake City,Utah,Pac-12
Utah State,Aggies,Logan,Utah,Mountain West
Vanderbilt,Commodores,Nashville,Tennessee,SEC
Virginia,Cavaliers,Charlottesville,Virginia,ACC
Virginia Tech,Hokies,Blacksburg,Virginia,ACC
Wake Forest,Demon Deacons,Winston-Salem,North Carolina,ACC
Washington,Huskies,Seattle,Washington,Pac-12
Washington State,Cougars,Pullman,Washington,Pac-12
West Virginia,Mountaineers,Morgantown,West Virginia,Big 12
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,C-USA
Western Michigan,Broncos,Kalamazoo,Michigan,MAC
Wisconsin,Badgers,Madison,Wisconsin,Big Ten
Wyoming,Cowboys,Laramie,Wyoming,Mountain West
